original_index,lat,lon,after_lat,after_lon,time
0,22.54345431023544,113.95234600742725,22.543438900537556,113.9523462923275,1547945345.0
1,22.543452312743273,113.95233101009862,22.543438698229732,113.95233126181044,1547945355.0
2,22.543488332015656,113.95221703041277,22.54343717315274,113.95221797630903,1547945385.0
3,22.543454378183522,113.95194207958335,22.54343346213085,113.95194246635377,1547945405.0
4,22.54343840396332,113.9517891070288,22.543430611512992,113.95178932353105,1547945415.0
5,22.54346948433815,113.95131619226365,22.543420495430816,113.95131755354188,1547945425.0
6,22.54345680400155,113.94946353192312,22.54340854226012,113.94946482909127,1547945455.0
7,22.543448812013303,113.94941754047017,22.54340758480138,113.9494186485814,1547945465.0
8,22.54343682264004,113.94935655181293,22.54340631422339,113.94935737183806,1547945525.0
9,22.543396900257903,113.94891363446479,22.54338912141472,113.948914130525,1547945535.0
10,22.54337099185647,113.9483947319254,22.54337073635301,113.94839457918602,1547945545.0
11,22.543361105752574,113.9477548530319,22.543446446213903,113.94774909831195,1547945555.0
12,22.543464215788195,113.9471439695748,22.543413022234333,113.94714742494253,1547945565.0
13,22.543502259953247,113.9469000163699,22.54339965748169,113.9469069418897,1547945575.0
14,22.543561308499935,113.94663306773765,22.5433855455877,113.94664404200482,1547945605.0
15,22.54323942391868,113.94599219182193,22.54335190504886,113.94598781463367,1547945615.0
16,22.543243625812245,113.94489440652151,22.543318833958192,113.94489030949339,1547945625.0
17,22.543243781973537,113.94405457263213,22.543289244596576,113.94405282635518,1547945635.0
18,22.543162180809293,113.94194199734017,22.543189521546353,113.941940158583,1547945665.0
19,22.543158192447386,113.94188100974243,22.543186132671693,113.94187913065049,1547945675.0
20,22.543154217291104,113.94175103619862,22.54317892680125,113.94174937435271,1547945695.0
21,22.543179230403265,113.94168305004762,22.543175258121458,113.94168331720739,1547945735.0
22,22.543162281530464,113.94141610453275,22.54316042275255,113.94141622955173,1547945745.0
23,22.543152290325356,113.94137011393542,22.543157840223778,113.94136974065387,1547945755.0
24,22.54314932414779,113.94119414994606,22.543148089688213,113.94119423297698,1547945765.0
25,22.543112357704928,113.94101918581896,22.543102515680815,113.94102085796203,1547945775.0
26,22.5430443751826,113.94092720470897,22.54309547593144,113.94092460563097,1547945815.0
27,22.543011481238054,113.94037831773767,22.54301278871718,113.94037826084576,1547945825.0
28,22.542977607340017,113.93972945212208,22.542987186910075,113.93972898176696,1547945835.0
29,22.542958696607357,113.93927254723967,22.542968870510947,113.93927204765939,1547945845.0
30,22.542922833037988,113.93857769265428,22.542937621223825,113.93857682422127,1547945855.0
31,22.542931861670656,113.93843272310446,22.542935552231135,113.93843324711581,1547945885.0
32,22.542931879636633,113.93834174223508,22.54294989439107,113.93834654127872,1547945895.0
33,22.542950914497222,113.93816577927596,22.542989051484287,113.93817593879254,1547945905.0
34,22.542977958357177,113.93794482586736,22.54300922035206,113.93794300804817,1547945915.0
35,22.542947047584725,113.93749492101979,22.542987649897118,113.93749255990141,1547945945.0
36,22.54294207483307,113.93735795005989,22.542981093463062,113.9373556809838,1547945955.0
37,22.542930216588832,113.93664810108733,22.542959006945296,113.93664711977699,1547945965.0
38,22.54289640360876,113.93571730044019,22.54292038410468,113.93571599230546,1547945975.0
39,22.542898435914996,113.93555733484627,22.542913226792397,113.93555652798176,1547945985.0
40,22.54281665685594,113.93446657057319,22.542864372040754,113.93446400179451,1547946015.0
41,22.542772853010707,113.93350577976281,22.542822924161207,113.93350385980794,1547946025.0
42,22.54275397040402,113.93293390493884,22.542805125225204,113.93293194316846,1547946035.0
43,22.542737034803938,113.93262097364007,22.542798653471927,113.93261987529672,1547946045.0
44,22.542720176686988,113.93193412492266,22.54280406150287,113.93193713201839,1547946055.0
45,22.54280784185098,113.92875383361611,22.54285434258249,113.92875557130192,1547946085.0
46,22.542877118128327,113.9274491279111,22.542906519374093,113.92745074586243,1547946095.0
47,22.542953378192582,113.92622840492727,22.54298468078196,113.9262435404713,1547946105.0
48,22.543543474875513,113.92578650554192,22.543532027679063,113.92585328753475,1547946115.0
49,22.54391631672404,113.92653433529391,22.54391247326915,113.92653293973994,1547946125.0
50,22.54324723790064,113.92689225406696,22.54324757086635,113.92694862785373,1547946135.0
51,22.54192722465811,113.92693024553832,22.541927815157162,113.9269635406396,1547946155.0
52,22.541658218715,113.92695324034092,22.541658508314676,113.92696956993254,1547946165.0
53,22.541544218269063,113.92695324034872,22.541544553113194,113.92697212117504,1547946175.0
54,22.541334217447524,113.92695324036308,22.54133463563591,113.92697682081946,1547946185.0
55,22.540886213993506,113.92696123857964,22.540886668188772,113.92698684988433,1547946195.0
56,22.539919213397653,113.92694624204697,22.539919435427926,113.92699783745236,1547946215.0
57,22.539255210797126,113.92694624209223,22.539255444137478,113.92700221863456,1547946225.0
58,22.538702205441165,113.92696123872868,22.538702737600346,113.92700764102548,1547946235.0
59,22.53817020186796,113.92696823717779,22.538170259486076,113.92696799043767,1547946245.0
60,22.53795020568325,113.92694624218105,22.537950336011786,113.92696242439243,1547946255.0
61,22.537908205518605,113.92694624218392,22.537908674274732,113.92696302512397,1547946265.0
62,22.537832208622856,113.92693024581723,22.537833196530507,113.92696561557892,1547946375.0
63,22.53769320956643,113.92692324741407,22.53769452588028,113.9269703748547,1547946385.0
64,22.537630207830873,113.92693024583092,22.537631389187073,113.9269725417473,1547946405.0
65,22.53731720809204,113.92692324743956,22.53731805329121,113.92698308145354,1547946435.0
66,22.537082203980766,113.92693824405406,22.537082897648137,113.92698735222679,1547946525.0
67,22.536899201561926,113.9269462422525,22.536898395915543,113.92698446767902,1547946535.0
68,22.536655192525707,113.9269842336535,22.536655258401087,113.92697926849785,1547946565.0
69,22.536298205795926,113.92691524932283,22.536294992867745,113.92696475332419,1547946655.0
70,22.535919214091596,113.92686925978121,22.535910701105927,113.92690574883112,1547946665.0
71,22.535473230210485,113.92678527886777,22.535472679602787,113.92678819729939,1547946785.0
72,22.534605288544256,113.92649534477073,22.534613598782883,113.9264732334649,1547946795.0
73,22.53363439029266,113.92600045741747,22.533647346099546,113.9259730488076,1547946805.0
74,22.532980462706544,113.92564953743434,22.532993865484833,113.9256196389201,1547946815.0
75,22.53241352422166,113.92535160545974,22.53240781141183,113.92536329295972,1547946845.0
76,22.532257539876976,113.92527562282218,22.53225683327769,113.92527706842772,1547946855.0
77,22.532192549470764,113.92522963333181,22.532188452290125,113.92523801565278,1547946865.0
78,22.53189258427696,113.92506167173464,22.531887731528393,113.92507199583474,1547946875.0
79,22.531694612861312,113.9249247030671,22.531679204035854,113.92495748553931,1547946885.0
80,22.531601620642387,113.92488671176301,22.531591096399314,113.92490910235739,1547946895.0
81,22.53125565702989,113.92471075205026,22.531249281720115,113.92472572002205,1547946915.0
82,22.531225660130207,113.9246957554851,22.531219258628855,113.92471078498318,1547946925.0
83,22.531219661823226,113.92468775731652,22.531211497993343,113.92470692444195,1547946935.0
84,22.531170668067947,113.92465776418639,22.531160528670434,113.92468156966987,1547946945.0
85,22.53111667279123,113.92463476945477,22.531107891919188,113.92465538543958,1547946955.0
86,22.53095868848212,113.92455878686522,22.530950934828674,113.92458195865784,1547946965.0
87,22.530868693065138,113.9245357921375,22.530864533073338,113.92454822433304,1547946995.0
88,22.53082170103915,113.92449780084354,22.530811727472447,113.92452760715184,1547947015.0
89,22.53061871355339,113.92443581505778,22.53061122926172,113.92446954086753,1547947025.0
90,22.530512721297505,113.92439782377032,22.530503011532836,113.9244415783885,1547947045.0
91,22.530136731199786,113.92434483593662,22.530135485621102,113.924351310206,1547947065.0
92,22.529825739856197,113.92429884649702,22.529824868224274,113.9243110676524,1547947075.0
93,22.529291727863814,113.92434483598345,22.529292087121842,113.92428555165363,1547947085.0
94,22.528188723507277,113.92434483604447,22.528188652967373,113.92429100151662,1547947095.0
95,22.526939694084597,113.92445880999409,22.526931825908644,113.92440505206731,1547947105.0
96,22.524591681363482,113.92447480645973,22.524597704751745,113.92443776219565,1547947125.0
97,22.523466747383132,113.92414688169283,22.52347911994464,113.92411162195137,1547947135.0
